#ID	DateBP	Region	Latitude	Longitude
NA20832.SG	0	Italy	40.50	11.00
R969.SG	300	Italy	41.96	12.75
R970.SG	300	Italy	41.96	12.75
R973.SG	300	Italy	41.96	12.75
I3807	400	Iberia	36.95	-3.55
I3808	400	Iberia	36.95	-3.55
I3810	400	Iberia	36.95	-3.55
I3809_published	400	Iberia	36.95	-3.55
I7423_published	400	Iberia	36.95	-3.55
I7424	400	Iberia	36.95	-3.55
I7425	400	Iberia	36.95	-3.55
I7426_published	400	Iberia	36.95	-3.55
R1220.SG	465	Italy	41.90	12.47
R1221.SG	465	Italy	41.90	12.47
R1224.SG	465	Italy	41.90	12.47
SNN003	481	Italy	40.73	8.56
R1219.SG	508	Italy	41.90	12.47
R1286.SG	520	Italy	41.90	12.47
R1287.SG	525	Italy	41.90	12.47
R1288.SG	525	Italy	41.90	12.47
R1289.SG	525	Italy	41.90	12.47
I8145	550	Iberia	37.15	-3.59
I8146	550	Iberia	37.15	-3.59
I8147	550	Iberia	37.15	-3.59
R52.SG	595	Italy	41.69	13.09
R53.SG	595	Italy	41.69	13.09
R54.SG	595	Italy	41.69	13.09
R55.SG	595	Italy	41.69	13.09
R56.SG	595	Italy	41.69	13.09
R57.SG	595	Italy	41.69	13.09
R61.SG	595	Italy	41.69	13.09
R1290.SG	602	Italy	41.90	12.47
SNN001	603	Italy	40.73	8.56
SNN002	604	Italy	40.73	8.56
SNN004	674	Italy	40.73	8.56
R62.SG	735	Italy	41.69	13.09
I7458	750	Iberia	37.00	-3.99
I7457	750	Iberia	37.00	-3.99
I12648	750	Iberia	39.47	-0.38
I12646	750	Iberia	39.47	-0.38
I12649	750	Iberia	39.47	-0.38
I12647	750	Iberia	39.47	-0.38
I12645	750	Iberia	39.47	-0.38
I12650_published	750	Iberia	39.47	-0.38
I12644	750	Iberia	39.47	-0.38
I12515	750	Iberia	39.93	-0.20
VK210.SG	800	Central	50.04	19.90
VK211.SG	800	Central	52.88	14.20
I10897_published	828	Iberia	42.05	2.87
R64.SG	840	Italy	41.69	13.09
R65.SG	840	Italy	41.69	13.09
R58.SG	850	Italy	41.69	13.09
I12514	854	Iberia	39.93	-0.20
I10853_published	876	Iberia	42.05	2.87
I7497	900	Iberia	37.81	-2.54
I7499	900	Iberia	37.81	-2.54
I7498	900	Iberia	37.81	-2.54
I10854_published	908	Iberia	42.05	2.87
I10852_published	908	Iberia	42.05	2.87
VK212.SG	908	Central	52.88	14.20
VK207.SG	930	Britain	59.13	-3.32
R1285.SG	935	Italy	41.90	12.47
I12516	937	Iberia	40.47	0.48
VK171.SG	945	Britain	53.30	-4.22
I7500	950	Iberia	36.70	-3.48
I10892	950	Iberia	42.05	2.87
VK153.SG	950	Central	52.70	18.90
VK154.SG	950	Central	52.70	18.90
VK155.SG	950	Central	52.70	18.90
VK156.SG	950	Central	52.70	18.90
VK157.SG	950	Central	52.70	18.90
VK256.SG	953	Britain	50.67	-2.47
VK257.SG	953	Britain	50.67	-2.47
VK258.SG	953	Britain	50.67	-2.47
VK259.SG	953	Britain	50.67	-2.47
VK260.SG	953	Britain	50.67	-2.47
VK261.SG	953	Britain	50.67	-2.47
VK262.SG	953	Britain	50.67	-2.47
VK263.SG	953	Britain	50.67	-2.47
VK264.SG	953	Britain	50.67	-2.47
VK449.SG	953	Britain	50.67	-2.47
R63.SG	960	Italy	41.69	13.09
I7427_published	1000	Iberia	37.18	-3.59
VK204.SG	1000	Britain	58.93	-2.75
VK206.SG	1000	Britain	58.93	-2.75
VK202.SG	1000	Britain	59.13	-3.32
I12221_published	1005	Italy	39.18	9.16
I10851_published	1006	Iberia	42.05	2.87
VK143.SG	1010	Britain	51.76	-1.26
VK144.SG	1010	Britain	51.76	-1.26
VK145.SG	1010	Britain	51.76	-1.26
VK146.SG	1010	Britain	51.76	-1.26
VK147.SG	1010	Britain	51.76	-1.26
VK148.SG	1010	Britain	51.76	-1.26
VK149.SG	1010	Britain	51.76	-1.26
VK150.SG	1010	Britain	51.76	-1.26
VK151.SG	1010	Britain	51.76	-1.26
VK163.SG	1010	Britain	51.76	-1.26
VK164.SG	1010	Britain	51.76	-1.26
VK165.SG	1010	Britain	51.76	-1.26
VK166.SG	1010	Britain	51.76	-1.26
VK167.SG	1010	Britain	51.76	-1.26
VK168.SG	1010	Britain	51.76	-1.26
VK172.SG	1010	Britain	51.76	-1.26
VK173.SG	1010	Britain	51.76	-1.26
VK174.SG	1010	Britain	51.76	-1.26
VK175.SG	1010	Britain	51.76	-1.26
VK176.SG	1010	Britain	51.76	-1.26
VK177.SG	1010	Britain	51.76	-1.26
VK178.SG	1010	Britain	51.76	-1.26
COR001	1017	Italy	40.52	8.79
I10895	1038	Iberia	42.05	2.87
R59.SG	1045	Italy	41.69	13.09
R60.SG	1045	Italy	41.69	13.09
VK170.SG	1050	Britain	54.08	-4.68
R1283.SG	1095	Italy	41.90	12.47
VK546.SG	1100	NA	53.34	-6.30
VK544.SG	1100	NA	53.39	-6.30
VK543.SG	1100	NA	53.51	-10.13
COR002	1106	Italy	40.52	8.79
VK208.SG	1112	Britain	59.13	-3.32
I7672	1153	Iberia	41.98	2.31
I7673	1153	Iberia	41.98	2.31
I7674	1153	Iberia	41.98	2.31
I7675	1153	Iberia	41.98	2.31
I7676	1153	Iberia	41.98	2.31
I0161.SG	1157	Britain	52.08	0.18
VK545.SG	1185	NA	53.34	-6.27
I3585	1195	Iberia	36.96	-4.12
RISE568.SG	1200	Central	50.19	14.16
NO3423.SG	1200	Britain	53.63	-1.18
I0157.SG	1227	Britain	52.08	0.18
RISE569.SG	1229	Central	50.19	14.16
I0159.SG	1234	Britain	52.08	0.18
I8343	1287	Iberia	42.13	3.11
I3775	1300	Iberia	41.98	2.31
I3776	1300	Iberia	41.98	2.31
I3777	1300	Iberia	41.98	2.31
I3778	1300	Iberia	41.98	2.31
I3866	1300	Iberia	41.98	2.31
R104.SG	1319	Italy	41.89	12.48
I12220_published	1340	Italy	39.18	9.16
CL102	1345	Italy	45.08	7.58
CL110	1345	Italy	45.08	7.58
CL121	1345	Italy	45.08	7.58
CL145	1345	Italy	45.08	7.58
CL146	1345	Italy	45.08	7.58
CL151	1345	Italy	45.08	7.58
CL23	1345	Italy	45.08	7.58
CL25	1345	Italy	45.08	7.58
CL30	1345	Italy	45.08	7.58
CL31	1345	Italy	45.08	7.58
CL36	1345	Italy	45.08	7.58
CL38	1345	Italy	45.08	7.58
CL47	1345	Italy	45.08	7.58
CL49	1345	Italy	45.08	7.58
CL53	1345	Italy	45.08	7.58
CL57	1345	Italy	45.08	7.58
CL63	1345	Italy	45.08	7.58
CL83	1345	Italy	45.08	7.58
CL84	1345	Italy	45.08	7.58
CL87	1345	Italy	45.08	7.58
CL92	1345	Italy	45.08	7.58
CL93	1345	Italy	45.08	7.58
CL94	1345	Italy	45.08	7.58
CL97	1345	Italy	45.08	7.58
I12031	1350	Iberia	42.02	2.81
I12032_published	1350	Iberia	42.02	2.81
I12029_published	1350	Iberia	42.02	2.81
I12033_published	1350	Iberia	42.02	2.81
I12034	1350	Iberia	42.02	2.81
I12163	1350	Iberia	42.02	2.81
I12164_published	1350	Iberia	42.02	2.81
I12162	1350	Iberia	42.02	2.81
BIM37b.SG	1350	Central	49.01	12.15
STR502b.SG	1364	Central	48.89	12.57
I3980	1387	Iberia	37.18	-3.61
I3584_published	1400	Iberia	36.96	-4.12
I12030_published	1400	Iberia	42.02	2.81
STR248b.SG	1405	Central	48.89	12.57
NIEcap9	1415	Central	48.54	10.23
NIEcap2	1415	Central	48.54	10.23
NIEcap1	1415	Central	48.54	10.23
NIEcap10	1415	Central	48.54	10.23
NIEcap3a	1415	Central	48.54	10.23
NIEcap12a	1415	Central	48.54	10.23
NIEcap3c	1415	Central	48.54	10.23
NIEcap5	1415	Central	48.54	10.23
NIEcap6	1415	Central	48.54	10.23
NIEcap3b	1415	Central	48.54	10.23
NIEcap12b	1415	Central	48.54	10.23
NIEcap12c	1415	Central	48.54	10.23
AED1119.SG	1430	Central	48.30	11.90
STR266b.SG	1430	Central	48.89	12.57
STR300b.SG	1430	Central	48.89	12.57
STR310.SG	1430	Central	48.89	12.57
STR355c.SG	1430	Central	48.89	12.57
STR360c.SG	1430	Central	48.89	12.57
STR480.SG	1430	Central	48.89	12.57
STR491.SG	1430	Central	48.89	12.57
AED1135b.SG	1445	Central	48.30	11.90
AED432b.SG	1445	Central	48.30	11.90
STR220c.SG	1445	Central	48.89	12.57
I0769.SG	1449	Britain	52.26	0.07
I3981	1450	Iberia	37.18	-3.61
I3574	1450	Iberia	37.32	-4.01
I3575	1450	Iberia	37.32	-4.01
I3577	1450	Iberia	37.32	-4.01
I3578	1450	Iberia	37.32	-4.01
I3579	1450	Iberia	37.32	-4.01
I3581	1450	Iberia	37.32	-4.01
I3582	1450	Iberia	37.32	-4.01
I3583_published	1450	Iberia	37.32	-4.01
R117.SG	1450	Italy	41.76	12.29
R118.SG	1450	Italy	41.76	12.29
R120.SG	1450	Italy	41.76	12.29
R121.SG	1450	Italy	41.76	12.29
R122.SG	1450	Italy	41.76	12.29
R35.SG	1450	Italy	41.89	12.49
R36.SG	1450	Italy	41.89	12.49
R105.SG	1450	Italy	41.89	12.48
R106.SG	1450	Italy	41.89	12.48
R107.SG	1450	Italy	41.89	12.48
R108.SG	1450	Italy	41.89	12.48
R109.SG	1450	Italy	41.89	12.48
R110.SG	1450	Italy	41.89	12.48
R30.SG	1450	Italy	41.91	12.47
R32.SG	1450	Italy	41.91	12.47
